02-26-2015 19:57:55;;;shure-kryg.ru;;;91.244.7.54;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36;;;
02-26-2015 19:57:59;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Linux; Android 4.2.2; Lenovo A5500-F Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.59 Safari/537.36;;;
02-27-2015 10:15:39;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-27-2015 10:15:41;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
02-27-2015 11:06:46;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-27-2015 11:10:04;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-27-2015 14:00:51;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Linux; Android 4.2.2; GT-I9105P Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36;;;
02-27-2015 14:44:30;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
02-27-2015 15:01:37;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
02-27-2015 15:03:59;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;http://shure-kryg.ru/rasii/
02-27-2015 15:06:47;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
02-27-2015 18:39:26;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-27-2015 18:40:13;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-27-2015 18:41:30;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-27-2015 18:41:39;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-27-2015 18:43:56;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Windows NT 6.0; rv:35.0) Gecko/20100101 Firefox/35.0;;;
02-27-2015 18:49:51;;;shure-kryg.ru;;;46.211.9.17;;;Mozilla/5.0 (Windows NT 6.0; rv:35.0) Gecko/20100101 Firefox/35.0;;;
02-28-2015 11:56:37;;;shure-kryg.ru;;;91.244.7.54;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
